"fish_id","standard_length","total_length","height","volume","Fangdatum","fish_species"
1,"112.8",140,29.9,55.2329687612929,2021-04-16,"Chub"
2,"137.6",166.6,36.5,95.4803464145364,2021-04-16,"Chub"
3,"124.6",153.7,30.6,68.1302980563987,2021-04-16,"Chub"
4,"123.8",151,29.9,64.2534143227673,2021-04-16,"Chub"
5,"80.900000000000006",100,17.9,16.8703525497772,2021-04-16,"Chub"
6,"116.4",140.9,27.4,51.2676813643717,2021-04-16,"Chub"
7,"114.4",143.2,27.6,53.3416254316283,2021-04-16,"Chub"
8,"92.4",112.9,20.5,24.6270772296207,2021-04-16,"Chub"
9,"131.19999999999999",156,30.9,70.8726715040646,2021-04-16,"Chub"
10,"112.2",136.7,24.7,43.5015878897484,2021-04-16,"Chub"
11,"157",195,39.3,140.842232509594,2021-04-16,"Chub"
12,"191",232,48.6,246.537714994779,2021-04-16,"Chub"
13,"133.6",157,30,69.6934055865013,2021-04-16,"Chub"
14,"118.6",142.5,26.4,50.5248209309905,2021-04-16,"Chub"
15,"124.6",151,28,60.1704214393807,2021-04-16,"Chub"
16,"124",147,27,54.9882072776517,2021-04-23,"Chub"
17,"132",160,31,74.7950378966658,2021-04-23,"Chub"
18,"101",122,22,30.8612469369801,2021-04-23,"Chub"
19,"142",171,31,85.4328790287658,2021-04-23,"Chub"
20,"147",182,34,106.143357358658,2021-04-23,"Chub"
21,"124",151,30,64.4683086850508,2021-04-23,"Chub"
22,"95",110,21,23.948360798315,2021-04-23,"Chub"
23,"92",110,22,25.0887589315681,2021-04-23,"Chub"
24,"89",107,20,21.5808565745697,2021-04-23,"Chub"
25,"147",182,34,106.143357358658,2021-04-23,"Chub"
26,"93",113,22,26.4758977518341,2021-04-23,"Chub"
27,"129",155,30,67.9290871522453,2021-05-07,"Chub"
28,"151",180,33,100.769725956546,2021-05-07,"Chub"
29,"129",155,31,70.1933900573201,2021-05-07,"Chub"
30,"98",122,22,30.8612469369801,2021-05-07,"Chub"
31,"135",159,33,78.6283778366495,2021-05-07,"Chub"
32,"94",114,21,25.7217270194134,2021-05-07,"Chub"
33,"77",96,18,15.6345756635611,2021-05-07,"Chub"
34,"180",210,40,166.253083227972,2021-05-14,"Chub"
35,"138",170,32,87.1603465811952,2021-05-14,"Chub"
36,"140",170,31,84.4365857505329,2021-05-14,"Chub"
37,"125",151,31,66.6172523078858,2021-05-14,"Chub"
38,"161",193,39,136.914786161672,2021-05-14,"Chub"
39,"146",177,33,97.4387266818715,2021-05-14,"Chub"
40,"121",150,25,53.0143760293278,2021-05-14,"Chub"
41,"160",190,38,129.289104065834,2021-05-14,"Chub"
42,"130",157,30,69.6934055865013,2021-05-14,"Chub"
43,"120",145,25,49.538989156294,2021-05-14,"Chub"
44,"92",112,20,23.6448829479782,2021-05-14,"Chub"
45,"160",190,40,136.09379375351,2021-05-14,"Chub"
46,"91",111,22,25.5469916360207,2021-05-14,"Chub"
47,"82",99,19,17.5507272707651,2021-05-14,"Chub"
48,"112",138,26,46.6662225860719,2021-05-14,"Chub"
49,"140",168,32,85.1215786127216,2021-05-14,"Chub"
50,"90",108,20,21.9861220268828,2021-05-14,"Chub"
51,"104",140,28,51.7231814487024,2021-05-14,"Chub"
52,"118",141,27,50.5909828722751,2021-05-14,"Chub"
53,"128",153,32,70.5998807307681,2021-05-28,"Chub"
54,"88.5",109,20,22.3951573903802,2021-05-28,"Chub"
55,"86.5",103,19,18.9976191833024,2021-05-28,"Chub"
56,"79",97,18,15.9619924499182,2021-05-28,"Chub"
57,"109",131,25.5,41.2433467191146,2021-05-28,"Chub"
58,"89",109.5,20,22.601088788823,2021-05-28,"Chub"
