"experiment_id","waveform","fish_species","fish_id","behavior","time_from","time_to","type","voltage","experiment_timestamp","breathing_rate_start","water_conductivity","water_temperature","breathing_rate_end","meta_behavior","standard_length","total_length","height","volume","Fangdatum","t.Pulse","Frequency","N.Pulses.Group","t.Gap","DutyCycle","usage","field_strength","c_w","p_d","p_t"
407,"VB2","Trout","6","BURST SWIMMING",339,339.506,"point",32.4,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.5115192,265.406802900785,69.4441921203384,58.5880795064321
407,"VB2","Trout","6","BURST SWIMMING",322,322.852,"point",30.9,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.4869822,265.406802900785,62.9416647104446,53.1020830357202
407,"VB2","Trout","6","HEAVY UNDULATION",452,567.792,"interval",41.4,"2021-04-19 14:41:56",118,330,14,126,"Twitch",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.6587412,265.406802900785,115.170619711006,97.1661591618868
407,"VB2","Trout","6","BURST SWIMMING",410,410.323,"point",37.7,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.5982166,265.406802900785,94.9793013839972,80.1313211522156
407,"VB2","Trout","6","BURST SWIMMING",432,432.483,"point",40.7,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.6472906,265.406802900785,111.201501387362,93.8175275079527
407,"VB2","Trout","6","HEAVY UNDULATION",254,388.563,"interval",24.9,"2021-04-19 14:41:56",118,330,14,126,"Twitch",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.3888342,265.406802900785,40.1273946572047,33.8543356439126
407,"VB2","Trout","6","JERKING",410,410.018,"point",37.7,"2021-04-19 14:41:56",118,330,14,126,"Twitch",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.5982166,265.406802900785,94.9793013839972,80.1313211522156
407,"VB2","Trout","6","BURST SWIMMING",450,450.465,"point",41.4,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.6587412,265.406802900785,115.170619711006,97.1661591618868
407,"VB2","Trout","6","BURST SWIMMING",368,368.392,"point",35.1,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.5556858,265.406802900785,81.9540930339038,69.1423252534554
407,"VB2","Trout","6","BURST SWIMMING",354,354.868,"point",33.6,"2021-04-19 14:41:56",118,330,14,126,"Strong",88.5,105,19.8,17.1448492078846,"2021-04-16","0.3","25",5,7,"0.0075",1,0.5311488,265.406802900785,74.8763144984696,63.1710058543564
